id;cstd_adm_section;cstd_security_level;cstd_user_type;description;middle_name;gender;phone_num;fax_num;effiective_date;expiry_date;blocked;blocked_reason;forced_pwd_change;cstd_titles;cstd_status;cstd_adm_divsison;login_status;login_time;attempt;need_approve;logout_time;national_id;cstd_organization_grade;cstd_employment_type;manu_script;manu_script_content_type;cc_version
1;Incredible;Concrete National;Ranch impactful;Berkshire Awesome;pixel Pennsylvania;architectures Cotton;viral;payment Illinois dot-com;2019-09-01T14:16:10;2019-09-02T06:01:02;true;Adaptive I;false;Pizza blue;digital;Internal;Sleek Steel Shirt;2019-09-01T21:13:07;3;true;2019-09-02T11:15:24;incubate A;Engineer Bedfordshire feed;Assurance Nebraska Mississippi;../data/blob/hipster.png;image/png;27997
2;override silver orchestration;tan program;Metal Auto Loan Account;Awesome;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;2019-09-02T11:50:12;2019-09-02T07:50:03;false;Shoes Rubb;true;cross-platform Unbranded;calculating Administrator Frozen;Representative mint green streamline;synthesize Arizona s;2019-09-02T10:35:28;3;true;2019-09-01T19:56:01;back-end;Mouse open-source payment;National structure;../data/blob/hipster.png;image/png;58830
3;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;2019-09-01T19:01:10;2019-09-01T14:00:04;false;orchestrat;false;Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing;Investment Account;2019-09-02T01:53:27;3;true;2019-09-02T10:20:51;Intuitive ;Baby Credit Card Account Nevada;Persistent transparent Chips;../data/blob/hipster.png;image/png;90845
4;Idaho strategize;value-added Savings Account;Connecticut Avon Money Market Account;bus;Security Virginia;solid state Clothing deposit;Maine Checking Account markets;Unbranded programming District;2019-09-02T10:59:53;2019-09-02T11:13:40;false;Pizza yell;false;instruction set Persistent Investment Ac;Handmade Plastic Mouse neural;Money Market Account;synergize;2019-09-02T01:02:53;3;true;2019-09-01T15:47:41;Inlet Rue;Path Assimilated Unions;Devolved;../data/blob/hipster.png;image/png;57763
5;Table Automotive;integrated;modular red;payment;Strategist;Towels applications;Zimbabwe;Bedfordshire;2019-09-01T23:39:23;2019-09-02T06:30:26;false;index indi;true;turquoise orchid;grow;New Jersey Gorgeous Soft Fish Mountain;Japan Knoll;2019-09-02T02:01:03;2;true;2019-09-02T10:13:11;Pants;Tasty navigate didactic;payment schemas Industrial;../data/blob/hipster.png;image/png;15615
6;bus withdrawal Toys;Enterprise-wide;Moldovan Leu;Checking Account;multi-byte Salad;Idaho bandwidth;Visionary pixel SAS;Markets Branding Concrete;2019-09-02T04:11:32;2019-09-02T06:54:36;false;Small depo;true;Wooden;North Carolina infomediaries Chief;Money Market Account end-to-end navigati;Alaska solution-orie;2019-09-01T22:57:58;1;false;2019-09-01T19:22:25;magnetic S;Metrics;back-end Fresh Missouri;../data/blob/hipster.png;image/png;98536
7;Squares Table Avon;optimal Peru;incentivize purple;navigating Liaison;Corporate Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;2019-09-02T13:40:54;2019-09-02T10:35:06;false;Future;true;Money Market Account Credit Card Account;Virginia;niches drive Ireland;strategic;2019-09-01T14:56:19;2;false;2019-09-02T11:57:30;Auto Loan ;Fantastic Fresh Ball;ubiquitous monitor;../data/blob/hipster.png;image/png;29712
8;West Virginia Keys;Factors Soft;black Beauty;Soap;Refined Granite Sausages Savings Account extensibl;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;2019-09-02T12:04:45;2019-09-01T18:45:35;false;Engineer T;false;solid state;Soft Quality Mount;Awesome;USB alarm 1080p;2019-09-01T22:08:06;2;true;2019-09-01T22:39:08;Engineer C;Associate Branding Small Metal Soap;Officer New Hampshire Unions;../data/blob/hipster.png;image/png;31285
9;Metal;complexity Direct Administrator;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;Unbranded Tugrik;models streamline;projection Maldives;2019-09-01T18:58:06;2019-09-01T22:03:58;false;Home Loan ;false;Health JBOD;Outdoors;Holy See (Vatican City State);Data Tasty Steel Pan;2019-09-02T13:02:36;1;false;2019-09-01T22:53:08;AGP Coordi;Practical killer Russian Federation;Adaptive Practical B2C;../data/blob/hipster.png;image/png;28723
10;paradigm Persevering Gorgeous Steel Sala;Practical Wooden Shirt whiteboard Concre;Data open-source Generic;Facilitator XSS;Underpass Personal Loan Account;parse;Intuitive;quantifying Phased connecting;2019-09-02T11:03:27;2019-09-02T08:24:34;false;architect;false;Accounts;wireless Generic Frozen Bike EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dol;2019-09-02T10:15:07;3;true;2019-09-02T02:49:28;Savings Ac;Antigua and Barbuda Personal Loan Accoun;Trail;../data/blob/hipster.png;image/png;39116
